n,eta,precision,recall,f1,precision_std,recall_std,f1_std
20,0.1,1.0,1.0,1.0,0.0,0.0,0.0
30,0.1,1.0,1.0,1.0,0.0,0.0,0.0
40,0.1,0.9936363636363637,0.9966666666666666,0.995079365079365,0.023839453836626587,0.017950549357115007,0.01961393573923056
50,0.1,0.9734647516226465,0.9681374181374182,0.9706392913059579,0.05911289524398569,0.07125246811125806,0.06489301674060945
65,0.1,0.96854593119299,0.9662489226459814,0.9670578927940547,0.060476338424633284,0.05547657624246716,0.056144398503606266
80,0.1,0.9262609024376758,0.9511709913180503,0.9375966946919364,0.07672177827722654,0.05427077542976075,0.061705586179630977
100,0.1,0.9115214447102051,0.926033613881964,0.9173614774394105,0.08747987209914142,0.07744938055875641,0.07728496351226267
120,0.1,0.8782009494145252,0.9313250468020043,0.9008145542311371,0.09817526877229099,0.05942155329408189,0.06958471366360915
150,0.1,0.9015938553961198,0.9227702443711328,0.9105909744617423,0.07475466614905472,0.07850382790119213,0.06943900599019054
