topology,n_nodes,n_samples,f1_mean,f1_std,precision_mean,recall_mean,perfect_recovery_rate,discrepancy_error_mean,n_trials_successful,n_trials_total
chain,6,100,0.403030303030303,0.17032890992838562,0.3904761904761905,0.42000000000000004,0.0,20.721486849560446,10,10
chain,6,1000,0.29515151515151516,0.14870237622248972,0.2752380952380953,0.32,0.0,2.066277612468571,10,10
chain,6,10000,0.24393939393939396,0.1650680912456273,0.21666666666666665,0.28,0.0,0.8607026650085311,10,10
chain,6,100000,0.2878787878787879,0.1570211685822014,0.25,0.33999999999999997,0.0,0.5003959558147774,10,10
chain,6,1000000,0.3545454545454546,0.06363636363636363,0.3071428571428571,0.42000000000000004,0.0,0.23784884342464516,10,10
chain,6,10000000,0.33333333333333337,5.551115123125783e-17,0.2857142857142857,0.4,0.0,0.011297659209994659,10,10
chain,6,20000000,0.33333333333333337,5.551115123125783e-17,0.2857142857142857,0.4,0.0,0.22112176158883085,10,10
chain,8,100,0.28627952456899824,0.08508445386344586,0.24597485847485845,0.3571428571428571,0.0,109.51588301448831,10,10
chain,8,1000,0.17769607843137253,0.15373368856940042,0.16027777777777777,0.2,0.0,2.4618423346783773,10,10
chain,8,10000,0.15624183006535947,0.10899978366332568,0.13540404040404042,0.1857142857142857,0.0,1.8504852638331328,10,10
chain,8,100000,0.20947712418300654,0.07057915700518626,0.17717171717171717,0.2571428571428571,0.0,1.3785386313743744,10,10
chain,8,1000000,0.2300653594771242,0.006403894752374326,0.19272727272727275,0.2857142857142857,0.0,1.311658454472175,10,10
chain,8,10000000,0.2163398692810458,0.035613418891046474,0.18000000000000002,0.2714285714285714,0.0,1.0979959833372528,10,10
chain,8,20000000,0.21503267973856208,0.03513033895523317,0.1781818181818182,0.2714285714285714,0.0,1.0970356599698168,10,10
chain,10,100,0.12752676028973361,0.08146552612060687,0.0984931734931735,0.18888888888888888,0.0,73.28661717077335,10,10
chain,10,1000,0.0645021645021645,0.07247560041358787,0.055128205128205134,0.07777777777777777,0.0,3.260908649459678,10,10
chain,10,10000,0.07793148880105402,0.07136065992539986,0.06388278388278389,0.09999999999999999,0.0,2.084823864567759,10,10
chain,10,100000,0.16956521739130437,0.0035499851344683625,0.13714285714285715,0.22222222222222224,0.0,1.1439279775976954,10,10
chain,10,1000000,0.1355072463768116,0.05557078136242854,0.10952380952380951,0.17777777777777776,0.0,1.109471078806796,10,10
chain,10,10000000,0.18550724637681162,0.03768115942028984,0.14952380952380953,0.24444444444444446,0.0,0.7345998293368524,10,10
chain,10,20000000,0.17608695652173917,0.028260869565217384,0.1414285714285714,0.23333333333333334,0.0,0.7333865949025575,10,10
