topology,n_nodes,n_samples,discrepancy_error_max_mean,discrepancy_error_max_std,discrepancy_error_mean_mean,discrepancy_error_mean_std,discrepancy_error_median_mean,discrepancy_error_median_std,discrepancy_error_90th_mean,discrepancy_error_90th_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,perfect_recovery_rate,n_trials_successful,n_trials_total,n_latent_mean,n_latent_std,n_observed_mean,n_observed_std
chain,6,100,17.633640508716287,16.551725962184978,2.3283494608998283,1.7811557073225701,0.9606466106963772,0.44514964632368803,4.9189578866666634,3.2107602155829293,0.2787345987345987,0.1617461071098769,0.25103174603174605,0.1510023826855708,0.32,0.18330302779823363,0.0,10,10,1.0,0.0,5.0,0.0
chain,6,1000,28.84531015190858,38.86875462729624,2.073187961950528,1.7924007408248106,0.5178468367667091,0.28324530314649016,2.8745201022843654,1.2444356623580992,0.35449217449217446,0.03453741075535182,0.32246031746031745,0.05409654452927247,0.4,0.0,0.0,10,10,1.0,0.0,5.0,0.0
chain,6,10000,6.2415728581438765,7.172738066173902,0.6815194055430963,0.5984506952897808,0.12137070743157641,0.06695641255264523,1.8490484273768222,1.638591491934195,0.46374625374625367,0.19797172550391617,0.42507936507936506,0.2111195994235755,0.52,0.18330302779823363,0.0,10,10,1.0,0.0,5.0,0.0
chain,6,100000,1.1748342913430847,0.1938226518047513,0.20028265158404573,0.11283764362370535,0.030224488993424826,0.022711396618683866,0.6173850450888301,0.42764390286229415,0.5642424242424242,0.1737703750663177,0.5352380952380952,0.189487912369735,0.6,0.15491933384829668,0.0,10,10,1.0,0.0,5.0,0.0
chain,6,1000000,0.8402396609094517,0.6794411054681111,0.10997439956630617,0.11485943459073276,0.008745806677028733,0.006820103358233932,0.41555192786861095,0.5533059120271271,0.7854545454545454,0.21860564894820564,0.7733333333333332,0.23466287875730724,0.8000000000000002,0.2,0.4,10,10,1.0,0.0,5.0,0.0
chain,6,10000000,0.4374208798696273,0.6654606971675604,0.05362343429775642,0.08592995818603902,0.0017131106368104333,0.0012173838736968213,0.20148836641797355,0.3814133741715572,0.9200000000000002,0.132664991614216,0.9200000000000002,0.132664991614216,0.9200000000000002,0.132664991614216,0.7,10,10,1.0,0.0,5.0,0.0
chain,6,20000000,1.2334113352674596,2.969836358247977,0.08679926716357497,0.2041401624606077,0.0009565286269345608,0.0008373667542180828,0.17624037023439496,0.4284893789575078,0.8699999999999999,0.20024984394500786,0.8628571428571428,0.21411421708794512,0.8799999999999999,0.18330302779823363,0.7,10,10,1.0,0.0,5.0,0.0
chain,8,100,169.96318127349113,398.52607410023074,6.411224971180917,8.443227322887962,1.1884118278380034,0.31048278556973125,9.483598165653996,4.488126048811067,0.16897512944571766,0.10572305968911969,0.1356998556998557,0.08937252939704478,0.22857142857142856,0.13093073414159542,0.0,10,10,1.0,0.0,7.0,0.0
chain,8,1000,201.08929582914456,404.850707996144,6.022387384769618,8.173060113362698,0.5732959418923833,0.1811885438857566,4.331251980425392,2.3258386128378064,0.23286967418546362,0.1112632083937711,0.19274753024753025,0.09966892638273096,0.29999999999999993,0.13477115902938006,0.0,10,10,1.0,0.0,7.0,0.0
chain,8,10000,6.887048286093828,5.09667063441778,0.7123618467723961,0.32034491022696987,0.3171108857830439,0.2644881751283044,1.5940834646183522,0.6164852376270916,0.23587581699346405,0.16277668722480845,0.21075757575757575,0.1512559736146878,0.2714285714285714,0.1743793659390529,0.0,10,10,1.0,0.0,7.0,0.0
chain,8,100000,4.412984758526907,6.340316262169177,0.3948650766614139,0.25065451439282876,0.05165313047485365,0.050597105713261564,1.0997474286952866,0.4408033299099489,0.3769607843137255,0.18981389740434643,0.34666666666666673,0.18263672368805287,0.41428571428571426,0.19639610121239315,0.0,10,10,1.0,0.0,7.0,0.0
chain,8,1000000,1.4269380386431387,0.5893704978015558,0.17545697359101786,0.11422104888696562,0.009807628480194475,0.006965643571251902,0.7371668589860229,0.7139483615067774,0.5426190476190477,0.20758423146262203,0.5184523809523809,0.21353861901665336,0.5714285714285714,0.20203050891044216,0.1,10,10,1.0,0.0,7.0,0.0
chain,8,10000000,1.1277711262672132,0.9722127103149334,0.07898480662092856,0.08377412497448236,0.001819596181116756,0.0016435806481130285,0.288923339298751,0.6229932635986508,0.8397802197802198,0.18152718244798102,0.8386904761904763,0.1903356996767253,0.8428571428571429,0.1743793659390529,0.5,10,10,1.0,0.0,7.0,0.0
chain,8,20000000,1.1264057836741197,0.9761426823121603,0.07389670990078454,0.08635753287656962,0.0007940516366466976,0.0006781150056335084,0.3331755982249742,0.6644251773435234,0.8083516483516483,0.21365511295652007,0.8047619047619048,0.22571692282968214,0.8142857142857143,0.20253495541082608,0.5,10,10,1.0,0.0,7.0,0.0
chain,10,100,87.86831321744383,74.1808255195796,4.4703261622599895,1.9195512899105127,1.3857791302950626,0.5042073510698658,10.449691280076035,3.776804537380696,0.1734673024238242,0.09003046311892661,0.1352770548165285,0.07028388467429346,0.2444444444444444,0.12957670877434002,0.0,10,10,1.0,0.0,9.0,0.0
chain,10,1000,370.81887089686273,800.1547754698049,7.958116105000228,10.144770003531423,1.000898199273024,0.18488643641510477,9.765695159091738,5.33607644026898,0.17122578503714547,0.07908759140200709,0.1368227881957859,0.07564016491101656,0.24444444444444446,0.08314794192830981,0.0,10,10,1.0,0.0,9.0,0.0
