topology,n_nodes,n_samples,discrepancy_error_max_mean,discrepancy_error_max_std,discrepancy_error_mean_mean,discrepancy_error_mean_std,discrepancy_error_median_mean,discrepancy_error_median_std,discrepancy_error_90th_mean,discrepancy_error_90th_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,perfect_recovery_rate,n_trials_successful,n_trials_total,n_latent_mean,n_latent_std,n_observed_mean,n_observed_std
balanced,6,100,143.76321967753768,226.33005411623074,8.586549761971607,10.59878521464632,1.522414515891712,0.74938873990127,9.093022636263461,7.4357405847192855,0.31007659007659005,0.23152244441603612,0.2676984126984127,0.2151511184709238,0.38000000000000006,0.26,0.0,10,10,1.0,0.0,5.0,0.0
balanced,6,1000,5.254748362156522,3.848588040457263,1.2158225640008853,0.48462818012548053,0.7356045188290166,0.24899825857700394,2.640476614099186,0.8416251979698189,0.47800865800865794,0.19419952020002829,0.44857142857142857,0.2077718965542078,0.52,0.18330302779823363,0.0,10,10,1.0,0.0,5.0,0.0
balanced,6,10000,5.709234366869946,7.34743249970212,1.062837074707634,0.42761524794561406,0.5672417766714293,0.2868899862332659,2.0948954536524544,0.26165545489103625,0.3981818181818182,0.27651311746865,0.38,0.26758176320519306,0.42000000000000004,0.28913664589601923,0.0,10,10,1.0,0.0,5.0,0.0
balanced,6,100000,3.1694788367748243,0.6253116741811117,0.9120409878063785,0.13605323907867742,0.4882174120797961,0.17590161572077728,2.071096684141768,0.2771831104472034,0.356060606060606,0.21675141381376567,0.32142857142857145,0.20012751037317003,0.4,0.23664319132398465,0.0,10,10,1.0,0.0,5.0,0.0
balanced,6,1000000,3.0614418595894812,0.6628222804261922,0.9280294175585094,0.13906644341086535,0.5003363146614349,0.18316991583248682,2.063777856466092,0.286748605355377,0.45303030303030295,0.18856789556992307,0.41428571428571426,0.1743793659390529,0.4999999999999999,0.20493901531919195,0.0,10,10,1.0,0.0,5.0,0.0
balanced,6,10000000,3.066607536329007,0.6674070678665978,0.9342206759825915,0.13414330981863198,0.45727313948747844,0.19855023055245813,2.0873968808383703,0.2967873191304279,0.39393939393939387,0.18556740475630137,0.3571428571428571,0.1749635530559413,0.44000000000000006,0.19595917942265423,0.0,10,10,1.0,0.0,5.0,0.0
balanced,6,20000000,3.0613776865237616,0.6661050132277634,0.9341437455116528,0.13413078651058463,0.458627992814565,0.1962409079703979,2.08945667087701,0.29970657228782605,0.5075757575757576,0.11363636363636363,0.4642857142857143,0.10714285714285715,0.5599999999999999,0.11999999999999998,0.0,10,10,1.0,0.0,5.0,0.0
balanced,8,100,75.95507269010149,89.25023151729229,3.774626599485509,2.4737014751654693,1.4275014998522577,0.40098591363485225,5.83602803213919,2.9062017793413646,0.26293778117307526,0.13106198897075222,0.2236335886335886,0.11563092899641951,0.32857142857142857,0.16963345838625596,0.0,10,10,1.0,0.0,7.0,0.0
balanced,8,1000,10.017512594230364,8.27898341835995,1.5893563518599,0.3632716451085191,1.1484193157507887,0.225638579358087,3.502274603784328,0.7256463876307117,0.1793627450980392,0.14562148065654457,0.16305555555555556,0.13494997930188893,0.19999999999999998,0.1590789817951435,0.0,10,10,1.0,0.0,7.0,0.0
balanced,8,10000,7.024486612468451,4.787465912293688,1.4376921793999702,0.18539952921796266,0.968981302867973,0.38897924494858444,3.3939880908727735,0.5116247129320048,0.15918584825234441,0.16466069689063711,0.14097222222222222,0.15171759676012095,0.18571428571428567,0.18126539343499312,0.0,10,10,1.0,0.0,7.0,0.0
balanced,8,100000,6.322029866484686,4.276209766506507,1.37061169888535,0.16047816176687407,1.0291064786157684,0.4325085878871979,3.290354996382477,0.6520053906957193,0.21497920380273322,0.13138424177489452,0.18686868686868685,0.12474318072190844,0.2571428571428571,0.13997084244475302,0.0,10,10,1.0,0.0,7.0,0.0
balanced,8,1000000,4.988017769674597,0.6444036239528285,1.3714647847938761,0.230181139315592,1.075633977083131,0.5071630569154386,3.410224877680603,0.6437532651165963,0.3627941176470588,0.1214015791726184,0.32305555555555554,0.11058242275435197,0.41428571428571426,0.13477115902938006,0.0,10,10,1.0,0.0,7.0,0.0
