polytree_size,n_hidden,n_observed,n_samples,discrepancy_error_mean,discrepancy_error_std,structure_success_rate
10,2,8,100,450.83380185745654,1170.7831380427879,0.0
10,2,8,1000,277.0029793895634,881.8407365029597,0.0
10,2,8,10000,30.726971656754365,45.05969377107682,0.0
10,2,8,100000,3.744472566754962,2.1353655710221675,0.0
10,2,8,1000000,1.225759828525706,0.2975443243852951,0.0
