n_samples,hidden_nodes,observed_nodes,moment_deviations,discrepancy_deviations,variance_errors,third_cumulant_errors,max_discrepancy_errors,structure_recovery_results,discrepancy_deviations_mean,discrepancy_deviations_std,discrepancy_deviations_min,discrepancy_deviations_max,variance_errors_mean,variance_errors_std,variance_errors_min,variance_errors_max,third_cumulant_errors_mean,third_cumulant_errors_std,third_cumulant_errors_min,third_cumulant_errors_max,max_discrepancy_errors_mean,max_discrepancy_errors_std,max_discrepancy_errors_min,max_discrepancy_errors_max,structure_recovery_success_rate
1000,['v1'],"['v2', 'v3', 'v4']","[{'variance_mae': np.float64(0.08039465362049958), 'variance_max': np.float64(0.13929694200736087), 'third_cumulant_mae': np.float64(1.7607399755935482), 'third_cumulant_max': np.float64(3.087423632720306), 'total_moment_error': np.float64(0.9205673146070239), 'empirical_variances': {'v1': np.float64(4.240315049188019), 'v2': np.float64(5.359503057992638), 'v3': np.float64(6.748380287802893), 'v4': np.float64(8.933683433859763)}, 'population_variances': {'v1': np.float64(4.319999999999999), 'v2': np.float64(5.498799999999999), 'v3': np.float64(6.698799999999999), 'v4': np.float64(8.880666999999999)}, 'empirical_third_cumulants': {'v1': np.float64(8.68641761570358), 'v2': np.float64(-3.2418403672796905), 'v3': np.float64(-1.1000204432901448), 'v4': np.float64(2.1981569493523865)}, 'population_third_cumulants': {'v1': np.float64(10.367999999999999), 'v2': np.float64(-6.329263999999997), 'v3': np.float64(-3.2892639999999975), 'v4': np.float64(2.2828672780000017)}}, {'variance_mae': np.float64(0.23755173858049172), 'variance_max': np.float64(0.39912577163472207), 'third_cumulant_mae': np.float64(0.9084643880111974), 'third_cumulant_max': np.float64(2.3181214463335893), 'total_moment_error': np.float64(0.5730080632958445), 'empirical_variances': {'v1': np.float64(4.623827963271466), 'v2': np.float64(5.897925771634721), 'v3': np.float64(6.860241984024623), 'v4': np.float64(8.794855764608844)}, 'population_variances': {'v1': np.float64(4.319999999999999), 'v2': np.float64(5.498799999999999), 'v3': np.float64(6.698799999999999), 'v4': np.float64(8.880666999999999)}, 'empirical_third_cumulants': {'v1': np.float64(9.863251508477537), 'v2': np.float64(-4.011142553666407), 'v3': np.float64(-3.1030890428340756), 'v4': np.float64(1.6580546209771843)}, 'population_third_cumulants': {'v1': np.float64(10.367999999999999), 'v2': np.float64(-6.329263999999997), 'v3': np.float64(-3.2892639999999975), 'v4': np.float64(2.2828672780000017)}}, {'variance_mae': np.float64(0.1311997199574333), 'variance_max': np.float64(0.2628648576392276), 'third_cumulant_mae': np.float64(1.0536618329688876), 'third_cumulant_max': np.float64(2.1294973319033446), 'total_moment_error': np.float64(0.5924307764631604), 'empirical_variances': {'v1': np.float64(4.363387688348864), 'v2': np.float64(5.4630835081075775), 'v3': np.float64(6.881629841949219), 'v4': np.float64(9.143531857639227)}, 'population_variances': {'v1': np.float64(4.319999999999999), 'v2': np.float64(5.498799999999999), 'v3': np.float64(6.698799999999999), 'v4': np.float64(8.880666999999999)}, 'empirical_third_cumulants': {'v1': np.float64(10.293735381830455), 'v2': np.float64(-4.199766668096652), 'v3': np.float64(-4.192231542696428), 'v4': np.float64(3.3907851171062338)}, 'population_third_cumulants': {'v1': np.float64(10.367999999999999), 'v2': np.float64(-6.329263999999997), 'v3': np.float64(-3.2892639999999975), 'v4': np.float64(2.2828672780000017)}}, {'variance_mae': np.float64(0.2595623673313434), 'variance_max': np.float64(0.418210220238314), 'third_cumulant_mae': np.float64(1.9608406656172623), 'third_cumulant_max': np.float64(3.274572648116672), 'total_moment_error': np.float64(1.1102015164743029), 'empirical_variances': {'v1': np.float64(4.00160867042747), 'v2': np.float64(5.591922182931561), 'v3': np.float64(6.280589779761685), 'v4': np.float64(8.67214126341703)}, 'population_variances': {'v1': np.float64(4.319999999999999), 'v2': np.float64(5.498799999999999), 'v3': np.float64(6.698799999999999), 'v4': np.float64(8.880666999999999)}, 'empirical_third_cumulants': {'v1': np.float64(9.910808388133995), 'v2': np.float64(-3.9381191533923876), 'v3': np.float64(-5.009717555878762), 'v4': np.float64(-0.9917053701166701)}, 'population_third_cumulants': {'v1': np.float64(10.367999999999999), 'v2': np.float64(-6.329263999999997), 'v3': np.float64(-3.2892639999999975), 'v4': np.float64(2.2828672780000017)}}, {'variance_mae': np.float64(0.47326909537318507), 'variance_max': np.float64(0.6333001554956121), 'third_cumulant_mae': np.float64(2.928561984029315), 'third_cumulant_max': np.float64(3.0934473142079355), 'total_moment_error': np.float64(1.70091553970125), 'empirical_variances': {'v1': np.float64(4.648600924229199), 'v2': np.float64(6.132100155495611), 'v3': np.float64(7.276813781924178), 'v4': np.float64(9.23382851984375)}, 'population_variances': {'v1': np.float64(4.319999999999999), 'v2': np.float64(5.498799999999999), 'v3': np.float64(6.698799999999999), 'v4': np.float64(8.880666999999999)}, 'empirical_third_cumulants': {'v1': np.float64(13.338969076637907), 'v2': np.float64(-9.422711314207932), 'v3': np.float64(-6.326735780361094), 'v4': np.float64(-0.32949248691031746)}, 'population_third_cumulants': {'v1': np.float64(10.367999999999999), 'v2': np.float64(-6.329263999999997), 'v3': np.float64(-3.2892639999999975), 'v4': np.float64(2.2828672780000017)}}]","[np.float64(1.5767520341538332), np.float64(0.9303111953180979), np.float64(0.8438837608565876), np.float64(1.0840118161557437), np.float64(0.2271695848801536)]","[np.float64(0.08039465362049958), np.float64(0.23755173858049172), np.float64(0.1311997199574333), np.float64(0.2595623673313434), np.float64(0.47326909537318507)]","[np.float64(1.7607399755935482), np.float64(0.9084643880111974), np.float64(1.0536618329688876), np.float64(1.9608406656172623), np.float64(2.928561984029315)]","[np.float64(1.5767520341538332), np.float64(0.9303111953180979), np.float64(0.8438837608565876), np.float64(1.0840118161557437), np.float64(0.2271695848801536)]","[{'recovery_success': False, 'recovered_edges': [('h1', 'v2'), ('h1', 'h2'), ('h2', 'v3'), ('h2', 'v4')], 'true_observed_edges': [('v3', 'v4')], 'observed_discrepancy': array([[0.        , 1.49063941, 1.7219396 ],
       [1.65339005, 0.        , 1.57675203],
       [2.14581279, 0.93316283, 0.        ]]), 'error': None}, {'recovery_success': False, 'recovered_edges': [('h1', 'v2'), ('h1', 'h2'), ('h2', 'v3'), ('h2', 'v4')], 'true_observed_edges': [('v3', 'v4')], 'observed_discrepancy': array([[0.        , 1.46850446, 1.48373415],
       [1.59545451, 0.        , 0.9303112 ],
       [2.43183501, 1.54818745, 0.        ]]), 'error': None}, {'recovery_success': False, 'recovered_edges': [('h1', 'v2'), ('h1', 'h2'), ('h2', 'v3'), ('h2', 'v4')], 'true_observed_edges': [('v3', 'v4')], 'observed_discrepancy': array([[0.        , 1.43697028, 1.43483019],
       [1.80499533, 0.        , 0.84388376],
       [2.80644424, 1.75565065, 0.        ]]), 'error': None}, {'recovery_success': False, 'recovered_edges': [('h1', 'v2'), ('h1', 'h2'), ('h2', 'v3'), ('h2', 'v4')], 'true_observed_edges': [('v3', 'v4')], 'observed_discrepancy': array([[0.        , 1.58145162, 1.62770911],
       [1.50521424, 0.        , 1.08401182],
       [2.16415446, 1.36425909, 0.        ]]), 'error': None}, {'recovery_success': True, 'recovered_edges': [('h1', 'v2'), ('h1', 'v3'), ('v3', 'v4')], 'true_observed_edges': [('v3', 'v4')], 'observed_discrepancy': array([[0.        , 1.48757569, 1.50517017],
       [1.59291328, 0.        , 0.        ],
       [2.29670295, 1.39626428, 0.        ]]), 'error': None}]",0.9324256782728831,0.4343650790582873,0.2271695848801536,1.5767520341538332,0.23639551497259062,0.13568312866713086,0.08039465362049958,0.47326909537318507,1.722453769244042,0.724272398827694,0.9084643880111974,2.928561984029315,0.9324256782728831,0.4343650790582873,0.2271695848801536,1.5767520341538332,0.2
10000,['v1'],"['v2', 'v3', 'v4']","[{'variance_mae': np.float64(0.03801776068057805), 'variance_max': np.float64(0.09505601068201841), 'third_cumulant_mae': np.float64(0.7248311281729941), 'third_cumulant_max': np.float64(1.1627459374002296), 'total_moment_error': np.float64(0.3814244444267861), 'empirical_variances': {'v1': np.float64(4.224943989317981), 'v2': np.float64(5.48283498275218), 'v3': np.float64(6.693004738669272), 'v4': np.float64(8.845412246538253)}, 'population_variances': {'v1': np.float64(4.319999999999999), 'v2': np.float64(5.498799999999999), 'v3': np.float64(6.698799999999999), 'v4': np.float64(8.880666999999999)}, 'empirical_third_cumulants': {'v1': np.float64(9.632684295619203), 'v2': np.float64(-5.166518062599767), 'v3': np.float64(-2.607691428200084), 'v4': np.float64(1.963176978888964)}, 'population_third_cumulants': {'v1': np.float64(10.367999999999999), 'v2': np.float64(-6.329263999999997), 'v3': np.float64(-3.2892639999999975), 'v4': np.float64(2.2828672780000017)}}, {'variance_mae': np.float64(0.04464761556602692), 'variance_max': np.float64(0.07219181906511984), 'third_cumulant_mae': np.float64(0.3363324152431), 'third_cumulant_max': np.float64(0.5504535656587564), 'total_moment_error': np.float64(0.19049001540456345), 'empirical_variances': {'v1': np.float64(4.356522558283707), 'v2': np.float64(5.570991819065119), 'v3': np.float64(6.717182512297381), 'v4': np.float64(8.932160572617898)}, 'population_variances': {'v1': np.float64(4.319999999999999), 'v2': np.float64(5.498799999999999), 'v3': np.float64(6.698799999999999), 'v4': np.float64(8.880666999999999)}, 'empirical_third_cumulants': {'v1': np.float64(10.918453565658755), 'v2': np.float64(-6.831912532195368), 'v3': np.float64(-3.483764673591036), 'v4': np.float64(2.3805941675272355)}, 'population_third_cumulants': {'v1': np.float64(10.367999999999999), 'v2': np.float64(-6.329263999999997), 'v3': np.float64(-3.2892639999999975), 'v4': np.float64(2.2828672780000017)}}, {'variance_mae': np.float64(0.061964571742777697), 'variance_max': np.float64(0.10029278716698808), 'third_cumulant_mae': np.float64(0.2930147575027109), 'third_cumulant_max': np.float64(0.5182903213740926), 'total_moment_error': np.float64(0.1774896646227443), 'empirical_variances': {'v1': np.float64(4.3480523612493025), 'v2': np.float64(5.4650122059406785), 'v3': np.float64(6.7990927871669875), 'v4': np.float64(8.966392344495498)}, 'population_variances': {'v1': np.float64(4.319999999999999), 'v2': np.float64(5.498799999999999), 'v3': np.float64(6.698799999999999), 'v4': np.float64(8.880666999999999)}, 'empirical_third_cumulants': {'v1': np.float64(10.525935290403291), 'v2': np.float64(-6.461088548685929), 'v3': np.float64(-3.6532728695475236), 'v4': np.float64(2.8011575993740943)}, 'population_third_cumulants': {'v1': np.float64(10.367999999999999), 'v2': np.float64(-6.329263999999997), 'v3': np.float64(-3.2892639999999975), 'v4': np.float64(2.2828672780000017)}}, {'variance_mae': np.float64(0.09278598841956032), 'variance_max': np.float64(0.1949163601302626), 'third_cumulant_mae': np.float64(0.6226494394782868), 'third_cumulant_max': np.float64(0.7329681619823911), 'total_moment_error': np.float64(0.35771771394892354), 'empirical_variances': {'v1': np.float64(4.288094722796815), 'v2': np.float64(5.530762619390886), 'v3': np.float64(6.811159696953907), 'v4': np.float64(9.075583360130262)}, 'population_variances': {'v1': np.float64(4.319999999999999), 'v2': np.float64(5.498799999999999), 'v3': np.float64(6.698799999999999), 'v4': np.float64(8.880666999999999)}, 'empirical_third_cumulants': {'v1': np.float64(9.851308321462586), 'v2': np.float64(-5.780230093652656), 'v3': np.float64(-2.597359988953995), 'v4': np.float64(3.015835439982393)}, 'population_third_cumulants': {'v1': np.float64(10.367999999999999), 'v2': np.float64(-6.329263999999997), 'v3': np.float64(-3.2892639999999975), 'v4': np.float64(2.2828672780000017)}}, {'variance_mae': np.float64(0.22044473619409288), 'variance_max': np.float64(0.3732082393125058), 'third_cumulant_mae': np.float64(1.271758396671431), 'third_cumulant_max': np.float64(1.807207057413804), 'total_moment_error': np.float64(0.7461015664327619), 'empirical_variances': {'v1': np.float64(4.45049365624047), 'v2': np.float64(5.631918358852422), 'v3': np.float64(6.943758690370972), 'v4': np.float64(9.253875239312505)}, 'population_variances': {'v1': np.float64(4.319999999999999), 'v2': np.float64(5.498799999999999), 'v3': np.float64(6.698799999999999), 'v4': np.float64(8.880666999999999)}, 'empirical_third_cumulants': {'v1': np.float64(11.6091585947798), 'v2': np.float64(-6.896127641711718), 'v3': np.float64(-4.761068292780395), 'v4': np.float64(0.47566022058619767)}, 'population_third_cumulants': {'v1': np.float64(10.367999999999999), 'v2': np.float64(-6.329263999999997), 'v3': np.float64(-3.2892639999999975), 'v4': np.float64(2.2828672780000017)}}]","[np.float64(1.1552032177489482), np.float64(0.05113167877538638), np.float64(0.9481351796516714), np.float64(0.961640927591314), np.float64(1.057642952061746)]","[np.float64(0.03801776068057805), np.float64(0.04464761556602692), np.float64(0.061964571742777697), np.float64(0.09278598841956032), np.float64(0.22044473619409288)]","[np.float64(0.7248311281729941), np.float64(0.3363324152431), np.float64(0.2930147575027109), np.float64(0.6226494394782868), np.float64(1.271758396671431)]","[np.float64(1.1552032177489482), np.float64(0.05113167877538638), np.float64(0.9481351796516714), np.float64(0.961640927591314), np.float64(1.057642952061746)]","[{'recovery_success': False, 'recovered_edges': [('h1', 'v2'), ('h1', 'h2'), ('h2', 'v3'), ('h2', 'v4')], 'true_observed_edges': [('v3', 'v4')], 'observed_discrepancy': array([[0.        , 1.46081517, 1.5133495 ],
       [1.69798395, 0.        , 1.15520322],
       [2.36177367, 1.28140987, 0.        ]]), 'error': None}, {'recovery_success': True, 'recovered_edges': [('h1', 'v2'), ('h1', 'v3'), ('v3', 'v4')], 'true_observed_edges': [('v3', 'v4')], 'observed_discrepancy': array([[0.        , 1.40138139, 1.43519856],
       [1.72457233, 0.        , 0.        ],
       [2.49676961, 1.52006257, 0.        ]]), 'error': None}, {'recovery_success': False, 'recovered_edges': [('h1', 'v2'), ('h1', 'h2'), ('h2', 'v3'), ('h2', 'v4')], 'true_observed_edges': [('v3', 'v4')], 'observed_discrepancy': array([[0.        , 1.42271865, 1.42283125],
       [1.74092868, 0.        , 0.94813518],
       [2.54826886, 1.54519418, 0.        ]]), 'error': None}, {'recovery_success': True, 'recovered_edges': [('h1', 'v2'), ('h1', 'v3'), ('v3', 'v4')], 'true_observed_edges': [('v3', 'v4')], 'observed_discrepancy': array([[0.        , 1.40873528, 1.39212998],
       [1.70254772, 0.        , 0.        ],
       [2.53957965, 1.55437454, 0.        ]]), 'error': None}, {'recovery_success': False, 'recovered_edges': [('h1', 'v2'), ('h1', 'h2'), ('h2', 'v3'), ('h2', 'v4')], 'true_observed_edges': [('v3', 'v4')], 'observed_discrepancy': array([[0.        , 1.45958451, 1.46506755],
       [1.67028673, 0.        , 1.05764295],
       [2.35261338, 1.37248101, 0.        ]]), 'error': None}]",0.8347507911658132,0.39884501066700895,0.05113167877538638,1.1552032177489482,0.09157213452060717,0.06716578014664966,0.03801776068057805,0.22044473619409288,0.6497172274137045,0.3517830786215622,0.2930147575027109,1.271758396671431,0.8347507911658132,0.39884501066700895,0.05113167877538638,1.1552032177489482,0.4
